entry_index	manifest_line	key	path	status	context	source	target	source_state	expected_count	source_count	target_count	decision	confidence	risk_tags	public_rc_rows	token_status	glossary_status	copy_status	functional_status	notes
39	273		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Runs commands, writes code, and reads files without asking.	无需确认即可运行命令、写代码和读取文件。	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none
40	280		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Partial	部分	target-and-source-present		9	1	simulated-accepted	high			clean	clean	clean	clean	none
41	287		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Can plan, read files, and execute low-risk commands. Asks before making any changes or executing sensitive commands.	可以规划、读取文件并执行低风险命令；修改文件或执行敏感命令前会请求确认。	target-present		0	1	blocked-public-rc	medium	billing-quota;terminal-command	GUI-BILL-01	clean	clean	clean	clean	none
42	294		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	None	无	target-and-source-present		19	2	simulated-accepted	high			clean	clean	clean	clean	none
43	301		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Takes no actions without your approval.	未经你批准不会执行任何操作。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
44	308		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Disable Warp Agent	禁用 Warp Agent	target-present		0	1	simulated-accepted-with-note	medium	destructive-action		clean	clean	clean	clean	none
45	315		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Upgrade for access to premium models.	升级以使用高级模型。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
46	322		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	State-of-the-art models require paid plans.	前沿模型需要付费计划。	target-present		0	1	blocked-public-rc	medium	billing-quota	GUI-BILL-01	clean	clean	clean	clean	none
47	329		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Upgrade	升级	target-and-source-present		16	2	simulated-accepted	high			clean	clean	clean	clean	none
48	336		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
49	343		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
50	350		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Customize third party agents	配置第三方 Agent	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
51	357		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Select defaults for using agents like Claude Code, Codex, and Gemini.	为 Claude Code、Codex、Gemini 等 Agent 设置默认选项。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
52	364		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	CLI agent toolbar	CLI Agent 工具栏	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
53	371		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Notifications	通知	target-and-source-present		14	1	simulated-accepted	high			clean	clean	clean	clean	none
54	378		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Enabled	启用	target-and-source-present		4	2	simulated-accepted	high			clean	clean	clean	clean	none
55	385		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Disabled	禁用	target-present		0	2	simulated-accepted-with-note	medium	destructive-action		clean	clean	clean	clean	none
56	392		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
57	399		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
58	406		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Choose a theme	选择主题	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
59	413		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Click or use arrow keys to select, Enter to confirm.	点击或使用方向键选择，按 Enter 确认。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
60	420		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Sync light/dark theme with OS	跟随系统浅色/深色主题	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
61	427		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Privacy Settings	隐私设置	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
62	434		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Terms of Service	服务条款	target-and-source-present		1	1	simulated-accepted	high			clean	clean	clean	clean	none
63	441		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Get Warping	开始使用 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
64	448		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
65	455		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		4	1	simulated-accepted	high			clean	clean	clean	clean	none
66	462		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Open a project	打开项目	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
67	469		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Set up a project to optimize it for coding in Warp.	设置项目，让它更适合在 Warp 中编码。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
68	476		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Open local folder	打开本地文件夹	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
69	483		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Initialize project automatically	自动初始化项目	target-and-source-present		1	1	simulated-accepted	high			clean	clean	clean	clean	none
70	490		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Prepares the project environment, builds an index of your code, and generates project rules—giving the agent deeper understanding and better performance.	准备项目环境、建立代码索引并生成项目规则，让 Agent 更深入理解项目并提升表现。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none
71	497		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Get Warping	开始使用 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
72	504		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
73	511		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
74	518		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Skip	跳过	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
75	525	auth.login.auth_token_placeholder	app/src/auth/login_slide.rs	active	Auth token input placeholder on the login slide.	Auth Token	认证令牌	target-present	1	0	1	blocked-public-rc	medium	api-key-secret;auth-login	GUI-AUTH-01;GUI-WS-04	clean	clean	clean	clean	none
76	534	auth.login.warp_drive_heading	app/src/auth/login_slide.rs	active	Login slide heading for the Warp Drive onboarding path.	Get started with Warp Drive	开始使用 Warp Drive	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
77	544	auth.login.ai_heading	app/src/auth/login_slide.rs	active	Login slide heading for the AI onboarding path.	Get started with AI	开始使用 AI	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
78	554	auth.login.warp_drive_description	app/src/auth/login_slide.rs	active	Login slide description for account sync and Warp Drive features.	Connect your account to save and share notebooks, workflows, and more across devices.	连接账号以在多台设备间保存和共享笔记本、工作流等内容。	target-present	1	0	1	blocked-public-rc	medium	auth-login;terminal-command	GUI-AUTH-01	clean	clean	clean	clean	none
79	563	auth.login.ai_description	app/src/auth/login_slide.rs	active	Login slide description for enabling AI features.	Connect your account to enable AI-powered planning, coding, and automation.	连接账号以启用 AI 驱动的规划、编码和自动化。	target-present	1	0	1	blocked-public-rc	medium	auth-login;billing-quota	GUI-AUTH-01;GUI-BILL-01	clean	clean	clean	clean	none
80	573	auth.login.terms_prefix	app/src/auth/login_slide.rs	active	Terms of service disclaimer prefix on the login slide.	By continuing, you agree to Warp's 	继续即表示你同意 Warp 的	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
81	582	auth.login.terms_of_service	app/src/auth/login_slide.rs	active	Terms of service link label on the login slide.	Terms of Service	服务条款	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
82	591	auth.login.privacy_settings	app/src/auth/login_slide.rs	active	Privacy settings link and heading on the login slide.	Privacy Settings	隐私设置	target-and-source-present	2	3	2	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
83	600	auth.login.back	app/src/auth/login_slide.rs	active	Back button label across login slide steps.	Back	返回	target-and-source-present	3	20	3	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
84	609	auth.login.disable_warp_drive	app/src/auth/login_slide.rs	active	Skip-login confirmation title/action for disabling Warp Drive.	Disable Warp Drive	禁用 Warp Drive	target-present	1	0	2	blocked-public-rc	medium	auth-login;destructive-action	GUI-AUTH-01	clean	clean	clean	clean	target_count 2 differs from expected_count 1
85	619	auth.login.disable_ai	app/src/auth/login_slide.rs	active	Skip-login confirmation title/action for disabling AI features.	Disable AI features	禁用 AI 功能	target-present	1	0	2	blocked-public-rc	medium	auth-login;destructive-action	GUI-AUTH-01	clean	clean	clean	clean	target_count 2 differs from expected_count 1
86	629	auth.login.continue	app/src/auth/login_slide.rs	active	Primary continue button on the login slide.	Continue	继续	target-present	1	0	5	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	target_count 5 differs from expected_count 1
87	638	auth.login.browser_continue	app/src/auth/login_slide.rs	active	Browser-open login step heading after launching authentication in a browser.	Sign in on your browser to continue	在浏览器中登录以继续	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
88	647	auth.login.paste_token_link	app/src/auth/login_slide.rs	active	Link that reveals auth token paste input on the browser login step.	Click here to paste your token from the browser	点击此处粘贴浏览器中的令牌	target-present	1	0	1	blocked-public-rc	medium	api-key-secret;auth-login	GUI-AUTH-01;GUI-WS-04	clean	clean	clean	clean	none
89	656		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Are you sure you want to disable Warp Drive?	确定要禁用 Warp Drive 吗？	target-present		0	1	blocked-public-rc	medium	auth-login;destructive-action	GUI-AUTH-01	clean	clean	clean	clean	none
90	663		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Are you sure you want to disable AI features?	确定要禁用 AI 功能吗？	target-present		0	1	blocked-public-rc	medium	auth-login;destructive-action	GUI-AUTH-01	clean	clean	clean	clean	none
91	670		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Warp Drive lets you save workflows and knowledge across devices and share them with your team. By continuing, you won't have access to the following features:	Warp Drive 可让你跨设备保存工作流和知识，并与团队共享。继续后，你将无法使用以下功能：	target-present		0	1	blocked-public-rc	medium	auth-login;team-workspace;terminal-command	GUI-AUTH-01	clean	clean	clean	clean	none
92	677		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Warp is better with AI. By continuing, you won't have access to any of the following features:	Warp 配合 AI 会更强。继续后，你将无法使用以下功能：	target-present		0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
93	684		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Enable Warp Drive	启用 Warp Drive	target-present		0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
94	691		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Enable AI features	启用 AI 功能	target-present		0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
95	698	auth.login.skip_for_now	app/src/auth/login_slide.rs	active	Secondary action allowing users to skip login during onboarding.	Skip for now	暂时跳过	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none
96	707		app/src/workspace/view.rs	active	Legacy reviewed zh-Hans localization entry	Search repos	搜索仓库	target-present		0	2	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
97	714		app/src/workspace/view.rs	active	Legacy reviewed zh-Hans localization entry	Search tabs...	搜索标签页...	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
98	721	workspace.view.search_sessions_agents_files_placeholder	app/src/workspace/view.rs	active	Workspace top-level search placeholder covering sessions, Agent conversations, and files.	Search sessions, agents, files...	搜索会话、Agent、文件...	target-present	1	0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
99	731	workspace.view.new_tab	app/src/workspace/view.rs	active	Workspace tab creation action.	New Tab	新建标签页	target-present	1	0	5	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	target_count 5 differs from expected_count 1
100	740		app/src/workspace/view.rs	active	Legacy reviewed zh-Hans localization entry	Tab configs	标签页配置	target-present		0	6	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
101	747	workspace.view.settings	app/src/workspace/view.rs	active	Workspace user/menu entry for opening settings.	Settings	设置	target-and-source-present	3	400	3	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
102	756	workspace.vertical_tabs.new_session	app/src/workspace/view/vertical_tabs.rs	active	Vertical tabs empty/new session action, covered by GUI smoke.	New session	新会话	target-present	1	0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
103	765		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	No tabs open	没有打开的标签页	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
104	772		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	No tabs match your search.	没有匹配搜索的标签页。	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
105	779		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Terminal	终端	target-and-source-present		86	2	simulated-accepted-with-note	medium	team-workspace;terminal-command		clean	clean	clean	clean	none
106	786		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Code	代码	target-and-source-present		52	2	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
107	793		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Settings	设置	target-and-source-present		43	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
108	800		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	View options	查看选项	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
109	807		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Tab configs	标签页配置	target-present		0	2	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
110	814		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	View as	查看方式	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
111	821		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Panes	窗格	target-and-source-present		22	2	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
112	828		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Tabs	标签页	target-and-source-present		235	9	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
113	835		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Focused session	当前会话	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
114	842		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Summary	摘要	target-and-source-present		106	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
115	849		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Density	密度	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
116	856		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Pane title as	窗格标题显示为	target-and-source-present		4	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
117	863		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Command / Conversation	命令 / 对话	target-present		0	3	simulated-accepted-with-note	medium	team-workspace;terminal-command		clean	clean	clean	clean	none
118	870		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Working Directory	工作目录	target-present		0	3	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
119	877		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Branch	分支	target-and-source-present		27	3	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
120	884		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Additional metadata	附加元数据	target-and-source-present		2	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
121	891		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Show	显示	target-and-source-present		8	3	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
122	898		app/src/workspace/view/vertical_tabs.rs	active	Legacy reviewed zh-Hans localization entry	Show details on hover	悬停时显示详情	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
123	905		crates/onboarding/src/slides/free_user_no_ai_slide.rs	active	Legacy reviewed zh-Hans localization entry	Let's get started.	开始使用。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
124	912		crates/onboarding/src/slides/free_user_no_ai_slide.rs	active	Legacy reviewed zh-Hans localization entry	Agent driven development with Warp's built-in agent	使用 Warp 内置 Agent 进行开发	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
125	919		crates/onboarding/src/slides/free_user_no_ai_slide.rs	active	Legacy reviewed zh-Hans localization entry	Iterate, plan, and build with Oz: Warp's built-in agent. Available locally or in the cloud.	使用 Oz（Warp 内置 Agent）迭代、规划和构建，可在本地或云端运行。	target-present		0	1	blocked-public-rc	medium	billing-quota	GUI-BILL-01	clean	clean	clean	clean	none
126	926		crates/onboarding/src/slides/free_user_no_ai_slide.rs	active	Legacy reviewed zh-Hans localization entry	Classic terminal with third-party agents	经典终端与第三方 Agent	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none
127	933		crates/onboarding/src/slides/free_user_no_ai_slide.rs	active	Legacy reviewed zh-Hans localization entry	A modern terminal that supports third-party agents (Claude Code, Codex, Gemini CLI) and classic terminal workflows.	支持 Claude Code、Codex、Gemini CLI 等第三方 Agent 和经典终端工作流的现代终端。	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none
