entry_index	manifest_line	module_group	path	source_state	source	target	decision	rationale
2713	19262	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleGlobalWorkflowsInUniversalSearch	ToggleGlobalWorkflowsInUniversalSearch	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2714	19268	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleNotifications	ToggleNotifications	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2715	19274	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleAutocompleteSymbols	ToggleAutocompleteSymbols	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2716	19280	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleSshWrapper	ToggleSshWrapper	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2717	19286	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetGlobalHotkeyMode	SetGlobalHotkeyMode	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2718	19292	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleLinkTooltip	ToggleLinkTooltip	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2719	19298	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleCompletionsOpenWhileTyping	ToggleCompletionsOpenWhileTyping	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2720	19304	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleCommandCorrections	ToggleCommandCorrections	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2721	19310	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleErrorUnderlining	ToggleErrorUnderlining	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2722	19316	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleSyntaxHighlighting	ToggleSyntaxHighlighting	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2723	19322	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleAliasExpansion	ToggleAliasExpansion	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2724	19328	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleMiddleClickPaste	ToggleMiddleClickPaste	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2725	19334	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleCodeAsDefaultEditor	ToggleCodeAsDefaultEditor	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2726	19340	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleShowInputHintText	ToggleShowInputHintText	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2727	19346	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleShowTerminalInputMessageLine	ToggleShowTerminalInputMessageLine	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2728	19352	settings	app/src/settings_view/features_page.rs	target-and-source-present	ActivationKeybindEditorClicked	ActivationKeybindEditorClicked	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2729	19358	settings	app/src/settings_view/features_page.rs	target-and-source-present	ActivationKeybindEditorCancel	ActivationKeybindEditorCancel	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2730	19364	settings	app/src/settings_view/features_page.rs	target-and-source-present	ActivationKeybindEditorSave	ActivationKeybindEditorSave	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2731	19370	settings	app/src/settings_view/features_page.rs	target-and-source-present	ActivationKeystrokeDefined	ActivationKeystrokeDefined	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2732	19376	settings	app/src/settings_view/features_page.rs	target-and-source-present	QuakeKeybindEditorClicked	QuakeKeybindEditorClicked	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2733	19382	settings	app/src/settings_view/features_page.rs	target-and-source-present	QuakeKeystrokeDefined	QuakeKeystrokeDefined	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2734	19388	settings	app/src/settings_view/features_page.rs	target-and-source-present	QuakeKeybindEditorCancel	QuakeKeybindEditorCancel	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2735	19394	settings	app/src/settings_view/features_page.rs	target-and-source-present	QuakeKeybindEditorSave	QuakeKeybindEditorSave	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2736	19400	settings	app/src/settings_view/features_page.rs	target-and-source-present	OpenUrl	OpenUrl	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2737	19406	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetExtraMetaKeys	SetExtraMetaKeys	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2738	19412	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleLeftMetaKey	ToggleLeftMetaKey	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2739	19418	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleRightMetaKey	ToggleRightMetaKey	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2740	19424	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleMouseReporting	ToggleMouseReporting	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2741	19430	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleScrollReporting	ToggleScrollReporting	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2742	19436	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleFocusReporting	ToggleFocusReporting	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2743	19442	settings	app/src/settings_view/features_page.rs	target-and-source-present	QuakeEditorSetPinPosition	QuakeEditorSetPinPosition	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2744	19448	settings	app/src/settings_view/features_page.rs	target-and-source-present	QuakeEditorSetPinScreen	QuakeEditorSetPinScreen	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2745	19454	settings	app/src/settings_view/features_page.rs	target-and-source-present	QuakeEditorResetWidthHeight	QuakeEditorResetWidthHeight	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2746	19460	settings	app/src/settings_view/features_page.rs	target-and-source-present	QuakeEditorSetSizePercentage	QuakeEditorSetSizePercentage	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2747	19466	settings	app/src/settings_view/features_page.rs	target-and-source-present	QuakeEditorTogglePinWindow	QuakeEditorTogglePinWindow	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2748	19472	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleLongRunningNotifications	ToggleLongRunningNotifications	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2749	19478	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetLongRunningNotificationThreshold	SetLongRunningNotificationThreshold	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2750	19484	settings	app/src/settings_view/features_page.rs	target-and-source-present	{}s	{}s	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2751	19490	settings	app/src/settings_view/features_page.rs	target-and-source-present	TogglePasswordPromptNotifications	TogglePasswordPromptNotifications	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2752	19496	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleAgentTaskCompletedNotifications	ToggleAgentTaskCompletedNotifications	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2753	19502	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleNeedsAttentionNotifications	ToggleNeedsAttentionNotifications	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2754	19508	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleNotificationSound	ToggleNotificationSound	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2755	19514	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleShowWarningBeforeQuitting	ToggleShowWarningBeforeQuitting	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2756	19520	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleLoginItem	ToggleLoginItem	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2757	19526	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleQuitOnLastWindowClosed	ToggleQuitOnLastWindowClosed	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2758	19532	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleSmartSelection	ToggleSmartSelection	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2759	19538	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetWordCharAllowlist	SetWordCharAllowlist	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2760	19544	settings	app/src/settings_view/features_page.rs	target-and-source-present	ResetWordCharAllowlist	ResetWordCharAllowlist	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2761	19550	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleUseAudibleBell	ToggleUseAudibleBell	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2762	19556	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleVimMode	ToggleVimMode	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2763	19562	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleVimUnnamedSystemClipboard	ToggleVimUnnamedSystemClipboard	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2764	19568	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleVimStatusBar	ToggleVimStatusBar	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2765	19574	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetCodeEditorLineNumberMode	SetCodeEditorLineNumberMode	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2766	19580	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetTabBehavior	SetTabBehavior	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2767	19586	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetCtrlTabBehavior	SetCtrlTabBehavior	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2768	19592	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetNewTabPlacement	SetNewTabPlacement	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2769	19598	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetDefaultSessionMode	SetDefaultSessionMode	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2770	19604	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetDefaultTabConfig	SetDefaultTabConfig	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2771	19610	settings	app/src/settings_view/features_page.rs	target-and-source-present	SearchForKeybinding	SearchForKeybinding	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2772	19616	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleAutosuggestions	ToggleAutosuggestions	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2773	19622	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleHideAutosuggestionKeybindingHint	ToggleHideAutosuggestionKeybindingHint	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2774	19628	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleShowAutosuggestionIgnoreButton	ToggleShowAutosuggestionIgnoreButton	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2775	19634	settings	app/src/settings_view/features_page.rs	target-and-source-present	TogglePreferLowPowerGPU	TogglePreferLowPowerGPU	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2776	19640	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetPreferredGraphicsBackend	SetPreferredGraphicsBackend	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2777	19646	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleConfirmCloseSession	ToggleConfirmCloseSession	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2778	19652	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleShowTerminalZeroStateBlock	ToggleShowTerminalZeroStateBlock	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2779	19658	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleShowChangelogAfterUpdate	ToggleShowChangelogAfterUpdate	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2780	19664	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleLinuxClipboardSelection	ToggleLinuxClipboardSelection	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2781	19670	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleForceX11	ToggleForceX11	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2782	19676	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleAtContextMenuInTerminalMode	ToggleAtContextMenuInTerminalMode	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2783	19682	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleSlashCommandsInTerminalMode	ToggleSlashCommandsInTerminalMode	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2784	19688	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleOutlineCodebaseSymbolsForAtContextMenu	ToggleOutlineCodebaseSymbolsForAtContextMenu	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2785	19694	settings	app/src/settings_view/features_page.rs	target-and-source-present	MakeWarpDefaultTerminal	MakeWarpDefaultTerminal	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2786	19700	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleAutoOpenCodeReviewPane	ToggleAutoOpenCodeReviewPane	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2787	19706	settings	app/src/settings_view/features_page.rs	target-and-source-present	SetNotificationToastDuration	SetNotificationToastDuration	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2788	19712	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleAgentInAppNotifications	ToggleAgentInAppNotifications	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2789	19718	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleAsyncFind	ToggleAsyncFind	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2790	19724	settings	app/src/settings_view/features_page.rs	target-and-source-present	Could not find current Ctrl-Tab behavior value in dropdown option list	Could not find current Ctrl-Tab behavior value in dropdown option list	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2791	19730	settings	app/src/settings_view/features_page.rs	target-and-source-present	Could not find current NewTabPlacement value in dropdown option list	Could not find current NewTabPlacement value in dropdown option list	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2792	19736	settings	app/src/settings_view/features_page.rs	target-and-source-present	link open desktop native redirect url intent deep link deeplink	link open desktop native redirect url intent deep link deeplink	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2793	19742	settings	app/src/settings_view/features_page.rs	target-and-source-present	restore session window tab pane startup	restore session window tab pane startup	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2794	19748	settings	app/src/settings_view/features_page.rs	target-and-source-present	sticky command block header snackbar	sticky command block header snackbar	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2795	19754	settings	app/src/settings_view/features_page.rs	target-and-source-present	link tooltip click open	link tooltip click open	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2796	19760	settings	app/src/settings_view/features_page.rs	target-and-source-present	editor open files markdown AI conversations layout pane tab	editor open files markdown AI conversations layout pane tab	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2797	19766	settings	app/src/settings_view/features_page.rs	target-and-source-present	warning popup modal dialog quit logout log out close	warning popup modal dialog quit logout log out close	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2798	19772	settings	app/src/settings_view/features_page.rs	target-and-source-present	login item startup start mac windows app restart automatic	login item startup start mac windows app restart automatic	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2799	19778	settings	app/src/settings_view/features_page.rs	target-and-source-present	quit all windows closed	quit all windows closed	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2800	19784	settings	app/src/settings_view/features_page.rs	target-and-source-present	changelog updates	changelog updates	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2801	19790	settings	app/src/settings_view/features_page.rs	target-and-source-present	mouse scroll wheel multiplier lines	mouse scroll wheel multiplier lines	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2802	19796	settings	app/src/settings_view/features_page.rs	target-and-source-present	oz auto open code review pane panel agent mode change first time accepted diff view conversation	oz auto open code review pane panel agent mode change first time accepted diff view conversation	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2803	19802	settings	app/src/settings_view/features_page.rs	target-and-source-present	warp default terminal application	warp default terminal application	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2804	19808	settings	app/src/settings_view/features_page.rs	target-and-source-present	max block size lines maximum limit memory	max block size lines maximum limit memory	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2805	19814	settings	app/src/settings_view/features_page.rs	target-and-source-present	ssh wrapper	ssh wrapper	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2806	19820	settings	app/src/settings_view/features_page.rs	target-and-source-present	desktop notifications	desktop notifications	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2807	19826	settings	app/src/settings_view/features_page.rs	target-and-source-present	startup shell session	startup shell session	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2808	19832	settings	app/src/settings_view/features_page.rs	target-and-source-present	starting working directory pwd session	starting working directory pwd session	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2809	19838	settings	app/src/settings_view/features_page.rs	target-and-source-present	reopen restore recover closed tab session	reopen restore recover closed tab session	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2810	19844	settings	app/src/settings_view/features_page.rs	target-and-source-present	warning popup modal dialog shared session close	warning popup modal dialog shared session close	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2811	19850	settings	app/src/settings_view/features_page.rs	target-and-source-present	extra meta key alt option	extra meta key alt option	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2812	19856	settings	app/src/settings_view/features_page.rs	target-and-source-present	global hotkey quake mode keybinding quick terminal	global hotkey quake mode keybinding quick terminal	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2813	19862	settings	app/src/settings_view/features_page.rs	target-and-source-present	autocomplete autoclose symbol bracket quote parentheses braces	autocomplete autoclose symbol bracket quote parentheses braces	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2814	19868	settings	app/src/settings_view/features_page.rs	target-and-source-present	line number relative line vim gutter code editor	line number relative line vim gutter code editor	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2815	19874	settings	app/src/settings_view/features_page.rs	target-and-source-present	error underline editor	error underline editor	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2816	19880	settings	app/src/settings_view/features_page.rs	target-and-source-present	syntax highlighting editor	syntax highlighting editor	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2817	19886	settings	app/src/settings_view/features_page.rs	target-and-source-present	completions menu type typing	completions menu type typing	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2818	19892	settings	app/src/settings_view/features_page.rs	target-and-source-present	suggest command corrections	suggest command corrections	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2819	19898	settings	app/src/settings_view/features_page.rs	target-and-source-present	expand alias expansion	expand alias expansion	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2820	19904	settings	app/src/settings_view/features_page.rs	target-and-source-present	middle click paste clipboard	middle click paste clipboard	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2821	19910	settings	app/src/settings_view/features_page.rs	target-and-source-present	vim mode keybindings	vim mode keybindings	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2822	19916	settings	app/src/settings_view/features_page.rs	target-and-source-present	@ at sign context menu terminal mode AI assistant	@ at sign context menu terminal mode AI assistant	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2823	19922	settings	app/src/settings_view/features_page.rs	target-and-source-present	slash commands terminal mode input menu	slash commands terminal mode input menu	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2824	19928	settings	app/src/settings_view/features_page.rs	target-and-source-present	outline codebase symbols context menu code indexing	outline codebase symbols context menu code indexing	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2825	19934	settings	app/src/settings_view/features_page.rs	target-and-source-present	terminal input message line bar agent	terminal input message line bar agent	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2826	19940	settings	app/src/settings_view/features_page.rs	target-and-source-present	autosuggestion ignore button hide	autosuggestion ignore button hide	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2827	19946	settings	app/src/settings_view/features_page.rs	target-and-source-present	completions autosuggestions tab keybinding arrow accept	completions autosuggestions tab keybinding arrow accept	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2828	19952	settings	app/src/settings_view/features_page.rs	target-and-source-present	ctrl tab behavior pane switch session recent	ctrl tab behavior pane switch session recent	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
2829	19958	settings	app/src/settings_view/features_page.rs	target-and-source-present	audible bell	audible bell	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
