entry_index	manifest_line	module_group	path	source_state	risk_tags	token_status	functional_status	public_rc_rows	decision	rationale
18	126	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
19	133	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
20	140	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
21	147	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
22	154	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
23	161	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
24	168	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
25	175	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
26	182	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
27	189	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-present	destructive-action	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
28	196	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
29	203	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
30	210	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
31	217	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
32	224	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
33	231	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
34	238	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
35	245	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
36	252	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
37	259	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
38	266	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
39	273	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present	terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
40	280	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
41	287	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present	billing-quota;terminal-command	clean	clean	G;U;I;-;B;I;L;L;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
42	294	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
43	301	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
44	308	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present	destructive-action	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
45	315	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
46	322	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-present	billing-quota	clean	clean	G;U;I;-;B;I;L;L;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
47	329	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
48	336	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
49	343	onboarding	crates/onboarding/src/slides/agent_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
50	350	onboarding	crates/onboarding/src/slides/third_party_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
51	357	onboarding	crates/onboarding/src/slides/third_party_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
52	364	onboarding	crates/onboarding/src/slides/third_party_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
53	371	onboarding	crates/onboarding/src/slides/third_party_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
54	378	onboarding	crates/onboarding/src/slides/third_party_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
55	385	onboarding	crates/onboarding/src/slides/third_party_slide.rs	target-present	destructive-action	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
56	392	onboarding	crates/onboarding/src/slides/third_party_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
57	399	onboarding	crates/onboarding/src/slides/third_party_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
58	406	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
59	413	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
60	420	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
61	427	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
62	434	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
63	441	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
64	448	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
65	455	onboarding	crates/onboarding/src/slides/theme_picker_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
66	462	onboarding	crates/onboarding/src/slides/project_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
67	469	onboarding	crates/onboarding/src/slides/project_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
68	476	onboarding	crates/onboarding/src/slides/project_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
69	483	onboarding	crates/onboarding/src/slides/project_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
70	490	onboarding	crates/onboarding/src/slides/project_slide.rs	target-present	environment-endpoint	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
71	497	onboarding	crates/onboarding/src/slides/project_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
72	504	onboarding	crates/onboarding/src/slides/project_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
73	511	onboarding	crates/onboarding/src/slides/project_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
74	518	onboarding	crates/onboarding/src/slides/project_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
75	525	auth-account	app/src/auth/login_slide.rs	target-present	api-key-secret;auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1;;;G;U;I;-;W;S;-;0;4	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
76	534	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
77	544	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
78	554	auth-account	app/src/auth/login_slide.rs	target-present	auth-login;terminal-command	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
79	563	auth-account	app/src/auth/login_slide.rs	target-present	auth-login;billing-quota	clean	clean	G;U;I;-;A;U;T;H;-;0;1;;;G;U;I;-;B;I;L;L;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
80	573	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
81	582	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
82	591	auth-account	app/src/auth/login_slide.rs	target-and-source-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
83	600	auth-account	app/src/auth/login_slide.rs	target-and-source-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
84	609	auth-account	app/src/auth/login_slide.rs	target-present	auth-login;destructive-action	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
85	619	auth-account	app/src/auth/login_slide.rs	target-present	auth-login;destructive-action	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
86	629	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
87	638	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
88	647	auth-account	app/src/auth/login_slide.rs	target-present	api-key-secret;auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1;;;G;U;I;-;W;S;-;0;4	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
89	656	auth-account	app/src/auth/login_slide.rs	target-present	auth-login;destructive-action	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
90	663	auth-account	app/src/auth/login_slide.rs	target-present	auth-login;destructive-action	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
91	670	auth-account	app/src/auth/login_slide.rs	target-present	auth-login;team-workspace;terminal-command	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
92	677	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
93	684	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
94	691	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
95	698	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
96	707	workspace	app/src/workspace/view.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
97	714	workspace	app/src/workspace/view.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
98	721	workspace	app/src/workspace/view.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
99	731	workspace	app/src/workspace/view.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
100	740	workspace	app/src/workspace/view.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
101	747	workspace	app/src/workspace/view.rs	target-and-source-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
102	756	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
103	765	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
104	772	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
105	779	workspace	app/src/workspace/view/vertical_tabs.rs	target-and-source-present	team-workspace;terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
106	786	workspace	app/src/workspace/view/vertical_tabs.rs	target-and-source-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
107	793	workspace	app/src/workspace/view/vertical_tabs.rs	target-and-source-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
108	800	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
109	807	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
110	814	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
111	821	workspace	app/src/workspace/view/vertical_tabs.rs	target-and-source-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
112	828	workspace	app/src/workspace/view/vertical_tabs.rs	target-and-source-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
113	835	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
114	842	workspace	app/src/workspace/view/vertical_tabs.rs	target-and-source-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
115	849	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
116	856	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
117	863	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace;terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
118	870	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
119	877	workspace	app/src/workspace/view/vertical_tabs.rs	target-and-source-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
120	884	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
121	891	workspace	app/src/workspace/view/vertical_tabs.rs	target-and-source-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
122	898	workspace	app/src/workspace/view/vertical_tabs.rs	target-present	team-workspace	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
123	905	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
124	912	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
125	919	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present	billing-quota	clean	clean	G;U;I;-;B;I;L;L;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
126	926	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present	terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
127	933	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present	terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
128	940	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
129	947	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
130	954	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
131	961	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
132	968	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
133	975	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
134	982	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present	billing-quota	clean	clean	G;U;I;-;B;I;L;L;-;0;1;;;G;U;I;-;B;I;L;L;-;0;2	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
135	989	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
136	996	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present	billing-quota	clean	clean	G;U;I;-;B;I;L;L;-;0;1;;;G;U;I;-;B;I;L;L;-;0;2	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
137	1003	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
138	1010	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
139	1017	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
140	1024	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
141	1031	onboarding	crates/onboarding/src/slides/free_user_no_ai_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
142	1038	onboarding	crates/onboarding/src/callout/view.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
143	1045	onboarding	crates/onboarding/src/callout/view.rs	target-present	dynamic-placeholder;terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
144	1052	onboarding	crates/onboarding/src/callout/view.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
145	1059	onboarding	crates/onboarding/src/callout/view.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
146	1066	onboarding	crates/onboarding/src/callout/view.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
147	1073	onboarding	crates/onboarding/src/callout/view.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
148	1080	onboarding	crates/onboarding/src/callout/view.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
149	1087	onboarding	crates/onboarding/src/callout/view.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
150	1094	onboarding	crates/onboarding/src/callout/view.rs	target-present	terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
151	1101	onboarding	crates/onboarding/src/callout/view.rs	target-present	dynamic-placeholder;terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
152	1108	onboarding	crates/onboarding/src/callout/view.rs	target-present	terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
153	1115	onboarding	crates/onboarding/src/callout/view.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
154	1122	onboarding	crates/onboarding/src/callout/view.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
155	1129	onboarding	crates/onboarding/src/callout/view.rs	target-present	dynamic-placeholder;terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
156	1136	onboarding	crates/onboarding/src/callout/view.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
157	1143	onboarding	crates/onboarding/src/callout/view.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
158	1150	onboarding	crates/onboarding/src/callout/view.rs	target-and-source-present	terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
159	1157	onboarding	crates/onboarding/src/components/onboarding_callout.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
160	1164	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
161	1171	auth-account	app/src/auth/login_slide.rs	target-present	auth-login	clean	clean	G;U;I;-;A;U;T;H;-;0;1	needs-owner-review-public-rc-evidence-gated	Public-RC blocker evidence is required; do not promote from source-level audit alone.
