entry_index	manifest_line	key	path	status	context	source	target	source_state	expected_count	source_count	target_count	decision	confidence	risk_tags	public_rc_rows	token_status	glossary_status	copy_status	functional_status	notes	module	module_group	source_length	target_length	length_ratio	machine_copy_score	mojibake_status	ui_density_risk	review_lane
15	105		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		4	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	2	0.5	2	clean	clean	accepted
16	112		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Customize your Warp	自定义 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	19	8	0.42	2	clean	clean	accepted
17	119		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Tailor your features and UI to your working style.	按你的工作方式调整功能和界面。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	50	15	0.3	2	clean	clean	accepted
18	126		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Tab styling	标签页样式	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	11	5	0.45	2	clean	clean	accepted
19	133		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Vertical	垂直	target-and-source-present		4	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	8	2	0.25	2	clean	clean	accepted
20	140		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Horizontal	水平	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	10	2	0.2	2	clean	clean	accepted
21	147		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Conversation history	对话历史	target-and-source-present		1	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	20	4	0.2	2	clean	clean	accepted
22	154		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	File explorer	文件浏览器	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	13	5	0.38	2	clean	clean	accepted
23	161		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Global file search	全局文件搜索	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	18	6	0.33	2	clean	clean	accepted
24	168		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Tools panel	工具面板	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	11	4	0.36	2	clean	clean	accepted
25	175		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Code review	代码审查	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	11	4	0.36	2	clean	clean	accepted
26	182		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Enabled	启用	target-and-source-present		8	2	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	7	2	0.29	2	clean	clean	accepted
27	189		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Disabled	禁用	target-present		0	2	simulated-accepted-with-note	medium	destructive-action		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	8	2	0.25	2	clean	clean	accepted
28	196		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	3	0.75	2	clean	clean	accepted
29	203		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	2	0.5	2	clean	clean	accepted
30	210		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Customize your Warp Agent	自定义 Warp Agent	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	25	14	0.56	2	clean	clean	accepted
31	217		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Select your in-app agent's defaults.	设置内置 Agent 的默认行为。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	36	17	0.47	2	clean	clean	accepted
32	224		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Default model	默认模型	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	13	4	0.31	2	clean	clean	accepted
33	231		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Recommended	推荐	target-present		0	2	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	11	2	0.18	2	clean	clean	accepted
34	238		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Premium	高级	target-and-source-present		1	4	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	7	2	0.29	2	clean	clean	accepted
35	245		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Autonomy	自主程度	target-and-source-present		28	3	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	8	4	0.5	2	clean	clean	accepted
36	252		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Set by Team Workspace	由团队工作区设置	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	21	8	0.38	2	clean	clean	accepted
37	259		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Autonomy settings are configured as part of your team workspace.	自主程度设置由团队工作区统一配置。	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	64	17	0.27	2	clean	clean	accepted
38	266		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Full	完全	target-and-source-present		11	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	2	0.5	2	clean	clean	accepted
39	273		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Runs commands, writes code, and reads files without asking.	无需确认即可运行命令、写代码和读取文件。	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	59	20	0.34	2	clean	clean	accepted
40	280		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Partial	部分	target-and-source-present		9	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	7	2	0.29	2	clean	clean	accepted
41	287		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Can plan, read files, and execute low-risk commands. Asks before making any changes or executing sensitive commands.	可以规划、读取文件并执行低风险命令；修改文件或执行敏感命令前会请求确认。	target-present		0	1	blocked-public-rc	medium	billing-quota;terminal-command	GUI-BILL-01	clean	clean	clean	clean	none	crates/onboarding/src	onboarding	116	36	0.31	2	clean	clean	public-rc
42	294		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	None	无	target-and-source-present		19	2	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	1	0.25	2	clean	clean	accepted
43	301		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Takes no actions without your approval.	未经你批准不会执行任何操作。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	39	14	0.36	2	clean	clean	accepted
44	308		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Disable Warp Agent	禁用 Warp Agent	target-present		0	1	simulated-accepted-with-note	medium	destructive-action		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	18	13	0.72	2	clean	clean	accepted
45	315		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Upgrade for access to premium models.	升级以使用高级模型。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	37	10	0.27	2	clean	clean	accepted
46	322		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	State-of-the-art models require paid plans.	前沿模型需要付费计划。	target-present		0	1	blocked-public-rc	medium	billing-quota	GUI-BILL-01	clean	clean	clean	clean	none	crates/onboarding/src	onboarding	43	11	0.26	2	clean	clean	public-rc
47	329		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Upgrade	升级	target-and-source-present		16	2	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	7	2	0.29	2	clean	clean	accepted
48	336		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	3	0.75	2	clean	clean	accepted
49	343		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	2	0.5	2	clean	clean	accepted
50	350		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Customize third party agents	配置第三方 Agent	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	28	11	0.39	2	clean	clean	accepted
51	357		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Select defaults for using agents like Claude Code, Codex, and Gemini.	为 Claude Code、Codex、Gemini 等 Agent 设置默认选项。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	69	42	0.61	2	clean	clean	accepted
52	364		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	CLI agent toolbar	CLI Agent 工具栏	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	17	13	0.76	2	clean	clean	accepted
53	371		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Notifications	通知	target-and-source-present		14	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	13	2	0.15	2	clean	clean	accepted
54	378		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Enabled	启用	target-and-source-present		4	2	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	7	2	0.29	2	clean	clean	accepted
55	385		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Disabled	禁用	target-present		0	2	simulated-accepted-with-note	medium	destructive-action		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	8	2	0.25	2	clean	clean	accepted
56	392		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	3	0.75	2	clean	clean	accepted
57	399		crates/onboarding/src/slides/third_party_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	2	0.5	2	clean	clean	accepted
58	406		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Choose a theme	选择主题	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	14	4	0.29	2	clean	clean	accepted
59	413		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Click or use arrow keys to select, Enter to confirm.	点击或使用方向键选择，按 Enter 确认。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	52	22	0.42	2	clean	clean	accepted
60	420		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Sync light/dark theme with OS	跟随系统浅色/深色主题	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	29	11	0.38	2	clean	clean	accepted
61	427		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Privacy Settings	隐私设置	target-and-source-present		1	3	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	16	4	0.25	2	clean	clean	accepted
62	434		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Terms of Service	服务条款	target-and-source-present		1	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	16	4	0.25	2	clean	clean	accepted
63	441		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Get Warping	开始使用 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	11	9	0.82	2	clean	clean	accepted
64	448		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	3	0.75	2	clean	clean	accepted
65	455		crates/onboarding/src/slides/theme_picker_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		4	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	2	0.5	2	clean	clean	accepted
66	462		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Open a project	打开项目	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	14	4	0.29	2	clean	clean	accepted
67	469		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Set up a project to optimize it for coding in Warp.	设置项目，让它更适合在 Warp 中编码。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	51	21	0.41	2	clean	clean	accepted
68	476		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Open local folder	打开本地文件夹	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	17	7	0.41	2	clean	clean	accepted
69	483		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Initialize project automatically	自动初始化项目	target-present		0	2	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	32	7	0.22	2	clean	clean	accepted
70	490		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Prepares the project environment, builds an index of your code, and generates project rules—giving the agent deeper understanding and better performance.	准备项目环境、建立代码索引并生成项目规则，让 Agent 更深入理解项目并提升表现。	target-present		0	1	simulated-accepted-with-note	medium	environment-endpoint		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	153	42	0.27	2	clean	clean	accepted
71	497		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Get Warping	开始使用 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	11	9	0.82	2	clean	clean	accepted
72	504		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	3	0.75	2	clean	clean	accepted
73	511		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	2	0.5	2	clean	clean	accepted
74	518		crates/onboarding/src/slides/project_slide.rs	active	Legacy reviewed zh-Hans localization entry	Skip	跳过	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	2	0.5	2	clean	clean	accepted
75	525	auth.login.auth_token_placeholder	app/src/auth/login_slide.rs	active	Auth token input placeholder on the login slide.	Auth Token	认证令牌	target-present	1	0	1	blocked-public-rc	medium	api-key-secret;auth-login	GUI-AUTH-01;GUI-WS-04	clean	clean	clean	clean	none	app/src/auth	auth-account	10	4	0.4	2	clean	clean	public-rc
76	534	auth.login.warp_drive_heading	app/src/auth/login_slide.rs	active	Login slide heading for the Warp Drive onboarding path.	Get started with Warp Drive	开始使用 Warp Drive	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	27	15	0.56	2	clean	clean	public-rc
77	544	auth.login.ai_heading	app/src/auth/login_slide.rs	active	Login slide heading for the AI onboarding path.	Get started with AI	开始使用 AI	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	19	7	0.37	2	clean	clean	public-rc
78	554	auth.login.warp_drive_description	app/src/auth/login_slide.rs	active	Login slide description for account sync and Warp Drive features.	Connect your account to save and share notebooks, workflows, and more across devices.	连接账号以在多台设备间保存和共享笔记本、工作流等内容。	target-present	1	0	1	blocked-public-rc	medium	auth-login;terminal-command	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	85	27	0.32	2	clean	clean	public-rc
79	563	auth.login.ai_description	app/src/auth/login_slide.rs	active	Login slide description for enabling AI features.	Connect your account to enable AI-powered planning, coding, and automation.	连接账号以启用 AI 驱动的规划、编码和自动化。	target-present	1	0	1	blocked-public-rc	medium	auth-login;billing-quota	GUI-AUTH-01;GUI-BILL-01	clean	clean	clean	clean	none	app/src/auth	auth-account	75	24	0.32	2	clean	clean	public-rc
80	573	auth.login.terms_prefix	app/src/auth/login_slide.rs	active	Terms of service disclaimer prefix on the login slide.	By continuing, you agree to Warp's 	继续即表示你同意 Warp 的	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	35	15	0.43	2	clean	clean	public-rc
81	582	auth.login.terms_of_service	app/src/auth/login_slide.rs	active	Terms of service link label on the login slide.	Terms of Service	服务条款	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	16	4	0.25	2	clean	clean	public-rc
82	591	auth.login.privacy_settings	app/src/auth/login_slide.rs	active	Privacy settings link and heading on the login slide.	Privacy Settings	隐私设置	target-and-source-present	2	1	4	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	target_count 4 differs from expected_count 2	app/src/auth	auth-account	16	4	0.25	2	clean	clean	public-rc
83	600	auth.login.back	app/src/auth/login_slide.rs	active	Back button label across login slide steps.	Back	返回	target-and-source-present	3	19	4	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	target_count 4 differs from expected_count 3	app/src/auth	auth-account	4	2	0.5	2	clean	clean	public-rc
84	609	auth.login.disable_warp_drive	app/src/auth/login_slide.rs	active	Skip-login confirmation title/action for disabling Warp Drive.	Disable Warp Drive	禁用 Warp Drive	target-present	1	0	2	blocked-public-rc	medium	auth-login;destructive-action	GUI-AUTH-01	clean	clean	clean	clean	target_count 2 differs from expected_count 1	app/src/auth	auth-account	18	13	0.72	2	clean	clean	public-rc
85	619	auth.login.disable_ai	app/src/auth/login_slide.rs	active	Skip-login confirmation title/action for disabling AI features.	Disable AI features	禁用 AI 功能	target-present	1	0	2	blocked-public-rc	medium	auth-login;destructive-action	GUI-AUTH-01	clean	clean	clean	clean	target_count 2 differs from expected_count 1	app/src/auth	auth-account	19	8	0.42	2	clean	clean	public-rc
86	629	auth.login.continue	app/src/auth/login_slide.rs	active	Primary continue button on the login slide.	Continue	继续	target-present	1	0	5	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	target_count 5 differs from expected_count 1	app/src/auth	auth-account	8	2	0.25	2	clean	clean	public-rc
87	638	auth.login.browser_continue	app/src/auth/login_slide.rs	active	Browser-open login step heading after launching authentication in a browser.	Sign in on your browser to continue	在浏览器中登录以继续	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	35	10	0.29	2	clean	clean	public-rc
88	647	auth.login.paste_token_link	app/src/auth/login_slide.rs	active	Link that reveals auth token paste input on the browser login step.	Click here to paste your token from the browser	点击此处粘贴浏览器中的令牌	target-present	1	0	1	blocked-public-rc	medium	api-key-secret;auth-login	GUI-AUTH-01;GUI-WS-04	clean	clean	clean	clean	none	app/src/auth	auth-account	47	13	0.28	2	clean	clean	public-rc
89	656		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Are you sure you want to disable Warp Drive?	确定要禁用 Warp Drive 吗？	target-present		0	1	blocked-public-rc	medium	auth-login;destructive-action	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	44	19	0.43	2	clean	clean	public-rc
90	663		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Are you sure you want to disable AI features?	确定要禁用 AI 功能吗？	target-present		0	1	blocked-public-rc	medium	auth-login;destructive-action	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	45	13	0.29	2	clean	clean	public-rc
91	670		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Warp Drive lets you save workflows and knowledge across devices and share them with your team. By continuing, you won't have access to the following features:	Warp Drive 可让你跨设备保存工作流和知识，并与团队共享。继续后，你将无法使用以下功能：	target-present		0	1	blocked-public-rc	medium	auth-login;team-workspace;terminal-command	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	158	48	0.3	2	clean	clean	public-rc
92	677		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Warp is better with AI. By continuing, you won't have access to any of the following features:	Warp 配合 AI 会更强。继续后，你将无法使用以下功能：	target-present		0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	94	30	0.32	2	clean	clean	public-rc
93	684		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Enable Warp Drive	启用 Warp Drive	target-present		0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	17	13	0.76	2	clean	clean	public-rc
94	691		app/src/auth/login_slide.rs	active	Legacy reviewed zh-Hans localization entry	Enable AI features	启用 AI 功能	target-present		0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	18	8	0.44	2	clean	clean	public-rc
95	698	auth.login.skip_for_now	app/src/auth/login_slide.rs	active	Secondary action allowing users to skip login during onboarding.	Skip for now	暂时跳过	target-present	1	0	1	blocked-public-rc	medium	auth-login	GUI-AUTH-01	clean	clean	clean	clean	none	app/src/auth	auth-account	12	4	0.33	2	clean	clean	public-rc
